[run number];c;v;p;q;[step];count hawks;count doves;count retaliators;v / c
7;0.36;0.15;0.25;0.25;8000;66;134;0;0.416666667
2;0.36;0.15;0.25;0.25;8000;69;131;0;0.416666667
8;0.36;0.15;0.25;0.25;8000;66;134;0;0.416666667
12;0.36;0.15;0.25;0.45;8000;66;133;1;0.416666667
6;0.36;0.15;0.25;0.25;8000;68;132;0;0.416666667
10;0.36;0.15;0.25;0.25;8000;66;134;0;0.416666667
11;0.36;0.15;0.25;0.45;8000;61;137;2;0.416666667
5;0.36;0.15;0.25;0.25;8000;64;136;0;0.416666667
9;0.36;0.15;0.25;0.25;8000;70;130;0;0.416666667
4;0.36;0.15;0.25;0.25;8000;66;134;0;0.416666667
3;0.36;0.15;0.25;0.25;8000;71;129;0;0.416666667
1;0.36;0.15;0.25;0.25;8000;65;135;0;0.416666667
14;0.36;0.15;0.25;0.45;8000;65;134;1;0.416666667
13;0.36;0.15;0.25;0.45;8000;69;131;0;0.416666667
15;0.36;0.15;0.25;0.45;8000;68;132;0;0.416666667
16;0.36;0.15;0.25;0.45;8000;67;133;0;0.416666667
18;0.36;0.15;0.25;0.45;8000;67;133;0;0.416666667
17;0.36;0.15;0.25;0.45;8000;65;135;0;0.416666667
19;0.36;0.15;0.25;0.45;8000;73;126;1;0.416666667
23;0.36;0.15;0.45;0.25;8000;70;130;0;0.416666667
22;0.36;0.15;0.45;0.25;8000;66;134;0;0.416666667
20;0.36;0.15;0.25;0.45;8000;64;134;2;0.416666667
21;0.36;0.15;0.45;0.25;8000;69;131;0;0.416666667
24;0.36;0.15;0.45;0.25;8000;67;133;0;0.416666667
25;0.36;0.15;0.45;0.25;8000;69;131;0;0.416666667
27;0.36;0.15;0.45;0.25;8000;65;135;0;0.416666667
26;0.36;0.15;0.45;0.25;8000;65;135;0;0.416666667
28;0.36;0.15;0.45;0.25;8000;65;135;0;0.416666667
29;0.36;0.15;0.45;0.25;8000;67;133;0;0.416666667
31;0.36;0.15;0.45;0.45;8000;68;131;1;0.416666667
30;0.36;0.15;0.45;0.25;8000;66;134;0;0.416666667
32;0.36;0.15;0.45;0.45;8000;68;132;0;0.416666667
34;0.36;0.15;0.45;0.45;8000;68;132;0;0.416666667
33;0.36;0.15;0.45;0.45;8000;69;131;0;0.416666667
35;0.36;0.15;0.45;0.45;8000;67;133;0;0.416666667
37;0.36;0.15;0.45;0.45;8000;67;133;0;0.416666667
38;0.36;0.15;0.45;0.45;8000;70;130;0;0.416666667
39;0.36;0.15;0.45;0.45;8000;64;135;1;0.416666667
40;0.36;0.15;0.45;0.45;8000;68;132;0;0.416666667
41;0.36;0.25;0.25;0.25;8000;106;93;1;0.694444444
42;0.36;0.25;0.25;0.25;8000;102;98;0;0.694444444
43;0.36;0.25;0.25;0.25;8000;104;95;1;0.694444444
